43	Cr10HGO	8-hydroxygeraniol dehydrogenase
389	ACCD	Probable 1-aminocyclopropane-1-carboxylate deaminase
390	ACC deaminase	Putative 1-aminocyclopropane-1-carboxylate deaminase
391	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
391	ACCD	1-aminocyclopropane-1-carboxylate deaminase
392	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
392	ACCD	1-aminocyclopropane-1-carboxylate deaminase
393	ACC synthase-like protein 1	1-aminocyclopropane-1-carboxylate synthase-like protein 1
394	ACC synthase-like protein 1	1-aminocyclopropane-1-carboxylate synthase-like protein 1
395	ACC synthase-like protein 1	1-aminocyclopropane-1-carboxylate synthase-like protein 1
396	ACC synthase-like protein 1	1-aminocyclopropane-1-carboxylate synthase-like protein 1
397	ACC synthase-like protein 2	Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2
398	ACC synthase-like protein 2	Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2
416	Boi1AP1	Floral homeotic protein APETALA 1-1
515	CRP-1	Cystatin-related protein 1
528	U3-CNTX-Asp1a	U3-ctenitoxin-Asp1a
529	PP2A, B' subunit, alpha isoform	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' alpha isoform
529	AtB' alpha	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' alpha isoform
530	PR61alpha	PP2A B subunit isoform PR61-alpha
531	PR61alpha	PP2A B subunit isoform PR61-alpha
532	AtB' beta	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform
532	PP2A, B' subunit, beta isoform	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform
535	PP2A, B' subunit, delta isoform	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B' delta isoform
535	AtB' delta	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B' delta isoform
539	AtB' epsilon	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' epsilon isoform
539	PP2A, B' subunit, epsilon isoform	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' epsilon isoform
545	AtB' gamma	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' gamma isoform
545	PP2A, B' subunit, gamma isoform	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' gamma isofo
