Mitochondrial fission 1 protein B	FIS1B_ARATH						FIS1 homolog B|FIS1B
Mitochondria fission 1 protein	FIS1_ASHGO						FIS1|Eremothecium gossypii
Mitochondria fission 1 protein	FIS1_ASPFU						Aspergillus fumigatus|fis1
Mitochondria fission 1 protein	FIS1_ASPOR						fis1
Mitochondrial fission 1 protein	FIS1_BOVIN						FIS1|Fis1 homolog
Mitochondria fission 1 protein	FIS1_CANAL						FIS1
Mitochondria fission 1 protein	FIS1_CANGA						FIS1|Torulopsis glabrata
Mitochondria fission 1 protein	FIS1_CHAGB						FIS1
Mitochondria fission 1 protein	FIS1_CRYNB						Filobasidiella neoformans|FIS1
Mitochondria fission 1 protein	FIS1_CRYNJ						Filobasidiella neoformans|FIS1
Mitochondria fission 1 protein	FIS1_DEBHA						FIS1|Torulaspora hansenii
Mitochondria fission 1 protein	FIS1_EMENI						Aspergillus nidulans|fis1
Mitochondria fission 1 protein	FIS1_GIBZE						FIS1|Fusarium graminearum
Mitochondrial fission 1 protein	FIS1_HUMAN						FIS1|FIS1 homolog|Tetratricopeptide repeat protein 11|TTC11
Mitochondria fission 1 protein	FIS1_KLULA						FIS1|Candida sphaerica
Mitochondrial fission 1 protein	FIS1_MOUSE						Fis1|FIS1 homolog|Tetratricopeptide repeat protein 11|Ttc11
Mitochondria fission 1 protein	FIS1_NEUCR						mtp-2|Mitochondrial transmission protein 2|fis1
Mitochondrial fission 1 protein	FIS1_RAT						Fis1|FIS1 homolog|Tetratricopeptide repeat protein 11|Ttc11
Mitochondria fission 1 protein	FIS1_SCHPO						fis1
Mitochondria fission 1 protein	FIS1_TUBBO						FIS1
Mitochondria fission 1 protein	FIS1_USTMA						FIS1
Mitochondria fission 1 protein	FIS1_YARLI						FIS1|Candida lipolytica
Mitochondria fission 1 protein	FIS1_YEAST						FIS1|MDV2|Mitochondrial division protein 2
Polycomb group protein FERTILIZATION-INDEPENDENT SEED 2	FIS2_ARATH						FIS2
DNA-binding protein Fis	FIS_ACTSZ						fis
DNA-binding protein Fis	FIS_AERHH						fis
DNA-binding protein Fis	FIS_AERS4						fis
DNA-binding protein Fis	FIS_ALISL						fis|Vibrio salmonicida (strain LFI1238)
DNA-binding protein Fis	FIS_BUCA5						fis
DNA-binding protein Fis	FIS_BUCAI						fis|Acyrthosiphon pisum symbiotic bacterium
DNA-binding protein Fis	FIS_BUCAP						fis
DNA-binding protein Fis	FIS_BUCAT						fis
DNA-binding protein Fis	FIS_CITK8						fis
DNA-binding protein Fis	FIS_CROS8						fis|Enterobacter sakazakii
DNA-binding protein Fis	FIS_ECO24						fis
DNA-binding protein Fis	FIS_ECO27						fis
DNA-binding protein Fis	FIS_ECO45						fis
DNA-binding protein Fis	FIS_ECO55						fis
DNA-binding protein Fis	FIS_ECO57						fis
DNA-binding protein Fis	FIS_ECO5E						fis
